text,label
"Твои академические достижения не стоят ничего, если ты не можешь применить их на практике.",insult
"Ты явно не тратил время на образование, иначе бы не делал такие глупости.",insult
"Как можно так пренебрегать учебой и ожидать, что тебя будут воспринимать всерьез?",insult
Твоя недостаточная квалификация делает тебя просто смешным в глазах профессионалов.,insult
"Ты, похоже, не учился нигде серьезно, раз так много ошибок.",insult
"Твои пустые дипломы не делают тебя умнее, просто выставляют тебя дураком.",insult
"Все твои усилия - это просто пустая трата времени, никто не ценит твои труды.",insult
"Твои дипломы и достижения не стоят и ломаного гроша, если ты не можешь применить их на практике.",insult
"Все твои старания в учебе и работе просто ничто, так как результат отсутствует.",insult
"Как можно так недооценивать свою работу, если все твои достижения не имеют реальной ценности?",insult
"Твоя работа и образование выглядят бесполезными, если не дают реального результата.",insult
"Ты потратил кучу времени на учебу, но все твои достижения не имеют смысла.",insult
"Все твои труды и академические успехи не стоят ничего, если ты не можешь их применить.",insult
"Твои усилия и учебные достижения не стоят и выеденного яйца, если их никто не замечает.",insult
Все твои достижения в учебе и работе просто выглядят жалкими без настоящих результатов.,insult
"Ты потратил годы на образование, но твои труды не имеют никакой ценности.",insult
Твое увлечение коллекционированием марок - это полное бессмысленное времяпрепровождение.,insult
"Как можно так увлекаться моделированием, если это абсолютно никому не нужно?",insult
"Ты тратишь кучу времени на такие бесполезные хобби, как садоводство, и не понимаешь, что это никому не интересно.",insult
"Твое увлечение йогой выглядит как просто способ тратить время зря, без каких-либо реальных результатов.",insult
"Как можно быть настолько поглощенным видео играми, когда это только мешает тебе развиваться?",insult
Твое хобби вязанием - это просто дурацкий способ убивать время.,insult
"Ты, как коллекционер комиксов, только создаешь впечатление, что у тебя нет настоящих интересов.",insult
Твое увлечение собирательством старинных монет никому не интересно и выглядит смешно.,insult
"Как можно так упорно заниматься фотосъемкой, если твои снимки только разочаровывают?",insult
Твое увлечение выращиванием экзотических растений выглядит как полная трата времени и сил.,insult
Твое увлечение коллекционированием фигурок - это просто пустая трата времени.,insult
"Как можно быть таким одержимым коллекционированием виниловых пластинок, если это никому не нужно?",insult
"Твоя страсть к домашним тортам просто бесполезна, ведь никто не оценит твои усилия.",insult
"Ты тратишь кучу времени на изучение редких языков, и это никому не интересно.",insult
Твое увлечение реставрацией старинных автомобилей выглядит как просто способ убивать время.,insult
"Как можно так увлекаться аквариумистикой, если это только создает дополнительные проблемы?",insult
Твое хобби спортивного рыболовства выглядит как ненужная трата времени и ресурсов.,insult
"Ты, как увлеченный коллекционер моделей железных дорог, только демонстрируешь свою бессмысленность.",insult
Твое увлечение домашним пивоварением выглядит как просто способ заполнить пустоту в жизни.,insult
"Как можно так увлекаться изучением астрономии, если это не приносит никаких реальных результатов?",insult
"Ты тратил кучу времени на изучение истории моды, и это выглядит как бесполезное занятие.",insult
Твоя любовь к боевым искусствам выглядит как попытка скрыть свою неуверенность.,insult
"Ты проводишь дни за созданием моделей из конструктора, и это выглядит как пустое времяпрепровождение.",insult
Твое увлечение народной музыкой не имеет никакого практического применения и выглядит как бесполезное занятие.,insult
"Как можно так сильно увлекаться коллекционированием старинных книг, когда это никому не нужно?",insult
